id,score,review
0,Positive,Kokusu çok güzel etkisi de efsane
1,Negative,hiç bir fark olmadı siyah nokta silmedi
2,Positive,şeffaf güzel bir krem elimi yumuşacık yaptı
3,Positive,"Özellikle karma ve hassas cildiniz varsa La Rocay'ın bu yüz temizleyicisi gerçekten aldigi paranin hakkini veriyor😍Ve Almanya için konusursam , trendyol neredeyse yari fiyatina satiyor🤩"
4,Negative,"çok iyi nemlendiriyor ama daha ucuz muadilleri var, buna bu parayı vermenize gerek yok."
5,Neutral,Ürün fena değil güzel tabi öbür kimyasallar gibü performans beklememek lazım
6,Negative,şampuan çok köttü
7,Negative,Ürün kullanıp memnun olduğum bir ürün fakat şişesi görselde ki gibi gelmedi eski şişe formatındaydı
8,Neutral,yeni kullaniyorum dokulmeleri azaltır inşallah
9,Positive,Kesinlikle saçlarınızda sarı işlem barsa hafta bir şampuan öncesi kullanım hiç düşünmeyin almak için her yıkadığımda bir yeni mi boyattın saçını duyuyorum 🤣
10,Positive,cildi çok güzel nemlendiriyor
11,Positive,Ürün başarılı duruyor fakat kesinlikle az sürülmeli
12,Neutral,Piyasa Fiyatından daha uygun
13,Positive,"Şu cihazı nerden buldular bilmiyorum ama iyi ki bulmuslar, almayan bin pişman olur. Ilk kullanimda farki görüyorsunuz, bununla birlikte bioderma ürünleri harika oluyor. Iyi ki almisim seni Xiaomi ❣😌"
14,Negative,Tencerelerin altını çizdi bardaklar hiç yıkanmamış gibi malesef doğal diye kullanmayı isterdim ama çok berbat
15,Negative,"Kuru cildim var, hiç olmadı. Nemsiz ve yağsız bir yapısı var. Tonu istediğim gibi ama yapısı kuru olduğundan başka bb kremle karıştırarak kullanmak zorunda kalıyorum."
16,Positive,"Kokusuna bayılıyorum, yaz kış kullanılır, çevremdeki erkek arkadaşlarımdan da çoğu parfümün markasını adını sordu :)"
17,Negative,ürün bildiğiniz naylon çok kötü
18,Positive,Gayet başarılı bir ürün hazır indirim deyken kaçırmayın.
19,Positive,Uygun fiyat lı
20,Neutral,parfumpu olmasını beğenmedim. yüzümde  yapışkan bir his bırakıyor
21,Negative,HİÇ KALICI DEĞİL. ORJİNAL Mİ ONU DA BİLMİYORUM.
22,Positive,"hafif hindistan cevizine benzeyen kokusu var, çok hoş. terlemeyi önlemeyip kokuyu önlüyor.Çok hızlı elime ulaştı. kargola'ma gayet iyiydi. tek sorun sürünce kurumasını beklemek. içeriği temiz olduğu için beklemeye değer ❤"
23,Neutral,güzel koku surekli kullaniyorum
24,Negative,Kuru cilt Cildim çok kuru olmasına rağmen gözeneklere dolup siyah-sarı nokta yaptı hem de yanaklarımda. Çenemi burnumu saymıyorum bile.
25,Negative,Bal sürmüş gibi yapış yapış.
26,Positive,Daha öncede severek kullandığım bir kokuydu tekrardan aldım
27,Neutral,cilt tipinize göre alacağınız sonuç değişkenlik gösterebilir
28,Neutral,Kaliteli değil başı çıktı 3. kullanımda
29,Positive,daha kullanmaya firsatim olmadi ama elime hızlı sekilde gelmesi benim icin yeterli ürünu gördüm 😃
30,Positive,Gördüğüm en iyi el&amp;tırnak bakım ürünü❤️❤️ karantina döneminde maf olan ellerimi tırnaklarını toparladı✨✨✨ Fiyatının uygun olması da ayrı güzelik💖
31,Neutral,Mükemmel ürün pişman olmazsınız😌
32,Negative,çok hafif ve güzel bir kok
33,Negative,Aşırı kötü bir krem saçları mahvediyor aşırı sertleştiriyor
34,Positive,"Kokusu, dokusu gayet güzel ve saçı yumuşacık yapıyor👍"
